reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,47,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,52,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,81,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,96,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,70,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,46,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,130,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,37,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,89,,,,,,,,,"dark mole/dot and purple colouring on gills, odd."
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,135,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,120,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,88,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,54,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,80,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,46,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,70,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,42,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,100,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,96,,,,,,,,,
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,71,,,,,,,,,fish caught in stop net
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,78,,,,,,,,,"over counted fish while sampling, capture location uncertain"
6,Tributary to Missinka,125180_ds_ef1,00000PARS,0,6,electrofishing,,1,Rainbow Trout,51,,,,,,,,,"over counted fish while sampling, capture location uncertain"
