reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
12,Tributary to Table River,125231_us_ef1,00000PARS,0,12,6.8,73,clear,electrofishing,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,7,85,110,,
12,Tributary to Table River,125231_us_ef1,00000PARS,0,12,6.8,73,clear,electrofishing,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,2,114,123,,
12,Tributary to Table River,125231_us_ef1,00000PARS,0,12,6.8,73,clear,visual observation above water,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Fish Unidentified Species,fry,,2,50,50,,
12,Tributary to Table River,125231_us_ef1,00000PARS,0,12,6.8,73,clear,visual observation above water,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Fish Unidentified Species,parr,,1,100,100,,
13,Tributary to Table River,125231_ds_ef2,00000PARS,0,13,6.8,73,clear,electrofishing,,1,331,30,2.2,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,2,47,49,,
13,Tributary to Table River,125231_ds_ef2,00000PARS,0,13,6.8,73,clear,electrofishing,,1,331,30,2.2,partial enclosure,450,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,6,86,104,,
14,Fern Creek,125261_ds_ef1,00000PARS,0,14,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,7,43,63,,
14,Fern Creek,125261_ds_ef1,00000PARS,0,14,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,5,67,100,,
14,Fern Creek,125261_ds_ef1,00000PARS,0,14,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,1,126,126,,
14,Fern Creek,125261_ds_ef1,00000PARS,0,14,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Sculpin (General),,,9,37,80,,Not salmonids so no life stage specified.
14,Fern Creek,125261_ds_ef1,00000PARS,0,14,6.4,290,clear,visual observation above water,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Fish Unidentified Species,fry,,1,50,50,,
14,Fern Creek,125261_ds_ef1,00000PARS,0,14,6.4,290,clear,visual observation above water,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,,,Fish Unidentified Species,parr,,1,95,95,,
